"ptn_avg","ptn_stddev","ptn_vc","ptn_min","ptn_max","ptn_entropy","varptn_avg","varptn_stddev","varptn_vc","varptn_min","varptn_max","varptn_entropy","unary","binary","ternary","clauses","variables","ratio","ratio_sq","ratio_cube","rec_ratio","rec_ratio_sq","rec_ratio_cube","lin_ratio","lin_ratio_sq","lin_ratio_cube","MH","rate"
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",1.0107850070721358
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",1.01502828854314
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",1
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",1
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",1.004950495049505
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",1.0121994342291372
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",1.0074257425742574
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",1.001980198019802
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",1.004950495049505
0.5,0.5,1,0,1,-6.739337,1,0,0,1,1,-3.73767,0,1,0,1690,42,40.23809523809524,1619.1043083900229,65149.673361408066,0.02485207100591716,0.0006176254332831483,0.00001534927112301315,35.63809523809524,1270.0738321995466,45263.012191340036,"GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",1.0028052805280527
