"category", "problem", "neighborhood", "neighborhood_size", "population", "inertia", "factor1", "factor2", "fitness"
"crafted", "p_hat700-2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "168"
"crafted", "p_hat700-2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "172"
"crafted", "p_hat700-2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "169"
"crafted", "san1000.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "154"
"crafted", "san1000.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "149"
"crafted", "san1000.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "153"
"crafted", "san400_0.5_1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "157"
"crafted", "san400_0.5_1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "160"
"crafted", "san400_0.5_1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "155"
"crafted", "sanr400_0.5.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "163"
"crafted", "sanr400_0.5.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "161"
"crafted", "sanr400_0.5.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "163"
"crafted", "scpcyc06_maxsat.cnf", "ring", "3", "20", "1", "1.7", "2.3", "94"
"crafted", "scpcyc06_maxsat.cnf", "ring", "3", "20", "1", "1.7", "2.3", "93"
"crafted", "scpcyc06_maxsat.cnf", "ring", "3", "20", "1", "1.7", "2.3", "92"
"crafted", "t3pm3-5555.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "19"
"crafted", "t3pm3-5555.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "19"
"crafted", "t3pm3-5555.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "19"
"crafted", "t4pm3-6666.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "64"
"crafted", "t4pm3-6666.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "66"
"crafted", "t4pm3-6666.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "64"
"crafted", "t5pm3-7777.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "148"
"crafted", "t5pm3-7777.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "146"
"crafted", "t5pm3-7777.spn.cnf", "ring", "3", "20", "1", "1.7", "2.3", "142"
"industrial", "b15-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "366780"
"industrial", "b15-bug-fourvec-gate-0.dimacs.seq.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "366803"
