@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

output,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.2339,358,183,145,38,0,79.234973,20.765027,0,0.620746,0.087322,0.219148,54.763712,78.426706,236.176688,240.405619,-4.228931,1.290583,1.313692,-0.023109,116.78144,0.63815,8085.431042,0.756757,56,0.183486,20,0.816514,89,0.243243,18,0.736842,0.756757,0.746667,0.851723,0.79235,0.151896,0.848104,0.20765,0.79386,0.79235,0.793002,0.870076,147.119,0.077,146.65,0.07,442871,94310,51435,?
output,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160110.2342,357,184,145,39,0,78.804348,21.195652,0,0.591716,0.103299,0.21466,64.630289,76.450494,246.778295,160.290769,86.487525,1.341186,0.871145,0.470041,100.11849,0.544122,7061.889158,0.72973,54,0.172727,19,0.827273,91,0.27027,20,0.739726,0.72973,0.734694,0.85516,0.788043,0.193329,0.806671,0.211957,0.734142,0.788043,0.759277,0.883999,148.456,0.079,148.21,0.07,442871,94065,51680,?
output,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160110.2344,357,184,136,48,0,73.913043,26.086957,0,0.491947,0.110191,0.229743,68.962246,81.870182,242.960166,186.216552,56.743614,1.320436,1.012046,0.308389,86.480091,0.47,6053.746217,0.662162,49,0.145455,16,0.854545,94,0.337838,25,0.753846,0.662162,0.705036,0.80602,0.73913,0.256678,0.743322,0.26087,0.692563,0.73913,0.710616,0.839985,147.655,0.076,147.47,0.07,442871,94065,51680,?
output,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160110.2347,357,184,128,56,0,69.565217,30.434783,0,0.412141,0.113559,0.242499,71.070052,86.415734,242.960166,204.316629,38.643538,1.320436,1.110416,0.210019,78.860385,0.428589,5520.354468,0.621622,46,0.227273,25,0.772727,85,0.378378,28,0.647887,0.621622,0.634483,0.778133,0.695652,0.28339,0.71661,0.304348,0.647058,0.695652,0.669143,0.803977,149.158,0.077,148.98,0.06,442871,94065,51680,?
output,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160110.2349,359,182,137,45,0,75.274725,24.725275,0,0.517895,0.106782,0.230764,66.986294,82.62078,234.82441,173.416433,61.407977,1.290244,0.952838,0.337406,90.052502,0.494794,6236.082443,0.657534,48,0.183486,20,0.816514,89,0.342466,25,0.705882,0.657534,0.680851,0.765238,0.752747,0.233853,0.766147,0.247253,0.703507,0.752747,0.725193,0.811895,148.053,0.077,147.88,0.06,442871,94555,51190,?
output,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160110.2352,356,185,132,53,0,71.351351,28.648649,0,0.452082,0.105769,0.238594,66.057905,84.665398,250.733714,203.023302,47.710412,1.355317,1.097423,0.257894,97.578786,0.527453,6917.650013,0.648649,48,0.243243,27,0.756757,84,0.351351,26,0.64,0.648649,0.644295,0.781471,0.713514,0.255607,0.744393,0.286486,0.660521,0.713514,0.685577,0.831595,148.29,0.077,147.83,0.07,442871,93820,51925,?
output,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160110.2354,358,183,143,40,0,78.142077,21.857923,0,0.576462,0.10954,0.222301,68.677842,79.508079,239.994816,169.998877,69.995939,1.311447,0.928956,0.382491,86.783835,0.474229,6053.708728,0.72973,54,0.165138,18,0.834862,91,0.27027,20,0.75,0.72973,0.739726,0.8348,0.781421,0.205382,0.794618,0.218579,0.732659,0.781421,0.755212,0.854088,149.082,0.077,148.9,0.07,442871,94310,51435,?
output,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160110.2357,357,184,132,52,0,71.73913,28.26087,0,0.458579,0.114683,0.237021,71.752247,84.414488,246.778295,192.206629,54.571666,1.341186,1.044601,0.296585,77.137677,0.419227,5440.930284,0.716216,53,0.218182,24,0.781818,86,0.283784,21,0.688312,0.716216,0.701987,0.795577,0.717391,0.261155,0.738845,0.282609,0.670055,0.717391,0.692819,0.809523,148.417,0.078,148.24,0.07,442871,94065,51680,?
output,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160110.2359,357,184,133,51,0,72.282609,27.717391,0,0.472572,0.113513,0.234455,71.039575,83.545838,243.960166,182.869235,61.090931,1.32587,0.993855,0.332016,81.858818,0.444885,5738.580565,0.72973,54,0.254545,28,0.745455,82,0.27027,20,0.658537,0.72973,0.692308,0.810811,0.722826,0.244813,0.755187,0.277174,0.677357,0.722826,0.699189,0.822743,148.739,0.077,148.56,0.07,442871,94065,51680,?
output,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D',-5990607817048210779,20160111.0002,357,184,135,49,0,73.369565,26.630435,0,0.477757,0.104741,0.229543,65.551358,81.799021,242.960166,186.514585,56.445581,1.320436,1.013666,0.306769,92.711918,0.503869,6489.984161,0.594595,44,0.145455,16,0.854545,94,0.405405,30,0.733333,0.594595,0.656716,0.810934,0.733696,0.262871,0.737129,0.266304,0.685794,0.733696,0.700757,0.841156,148.704,0.079,148.52,0.07,442871,94065,51680,?
