@relation regression

@attribute ptn_avg numeric
@attribute ptn_stddev numeric
@attribute ptn_vc numeric
@attribute ptn_min numeric
@attribute ptn_max numeric
@attribute ptn_entropy numeric
@attribute varptn_avg numeric
@attribute varptn_stddev numeric
@attribute varptn_vc numeric
@attribute varptn_min numeric
@attribute varptn_max numeric
@attribute varptn_entropy numeric
@attribute unary numeric
@attribute binary numeric
@attribute ternary numeric
@attribute clauses numeric
@attribute variables numeric
@attribute ratio numeric
@attribute ratio_sq numeric
@attribute ratio_cube numeric
@attribute rec_ratio numeric
@attribute rec_ratio_sq numeric
@attribute rec_ratio_cube numeric
@attribute lin_ratio numeric
@attribute lin_ratio_sq numeric
@attribute lin_ratio_cube numeric
@attribute MH {'EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)','EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)','EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)','EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)','EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)','EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)','GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)','GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)','GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)','GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)','PSO pop(20) linear(3) params(1.0, 1.7, 2.3)','PSO pop(50) linear(2) params(0.8, 2.3, 2.9)','PSO pop(50) linear(5) params(1.0, 1.3, 1.9)','PSO pop(50) ring(2) params(1.0, 1.7, 2.3)'}
@attribute rate numeric

@data
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)',1.010494
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)',1.00237
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)',1.02979
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)',1.044516
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)',1.029542
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)',1.012006
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)',1.018799
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)',1.016114
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'PSO pop(20) linear(3) params(1.0, 1.7, 2.3)',1.016272
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'PSO pop(50) linear(2) params(0.8, 2.3, 2.9)',1.02575
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'PSO pop(50) linear(5) params(1.0, 1.3, 1.9)',1.01722
0.5,0.5,1,0,1,-6.822197,1,0,0,1,1,-3.806662,0,1,0,1836,45,40.8,1664.64,67917.312,0.02451,0.000601,0.000015,36.2,1310.44,47437.928,'PSO pop(50) ring(2) params(1.0, 1.7, 2.3)',1.02812
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)',1.094958
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)',1.112045
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)',1.009104
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)',1.011438
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)',1.041737
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)',1.102007
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)',1.07619
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)',1.023249
0.5,0.5,1,0,1,-6.338594,1,0,0,1,1,-3.688879,0,1,0,1132,40,28.3,800.89,22665.187,0.035336,0.001249,0.000044,23.7,561.69,13312.053,'GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)',1.052101
