"category","problem","MH","avg_fit","Opt"
"crafted","MANN_a9.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",423,
"crafted","MANN_a9.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",434.57142857142856,
"crafted","MANN_a9.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",440.7857142857143,
"crafted","MANN_a9.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",434.46666666666664,
"crafted","MANN_a9.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",427.06666666666666,
"crafted","MANN_a9.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",429.93333333333334,
"crafted","MANN_a9.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",428.8,
"crafted","MANN_a9.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",428.8666666666667,
"crafted","MANN_a9.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",432.8666666666667,
"crafted","MANN_a9.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",429.26666666666665,
"crafted","MANN_a9.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",433.8666666666667,
"crafted","brock200_1.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",260.6,"238"
"crafted","brock200_1.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",264.6666666666667,"238"
"crafted","brock200_1.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",240.16666666666666,"238"
"crafted","brock200_1.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",240.72222222222223,"238"
"crafted","brock200_1.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",247.93333333333334,"238"
"crafted","brock200_1.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",262.27777777777777,"238"
"crafted","brock200_1.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",256.1333333333333,"238"
