"category","problem","best_fit","Opt"
"crafted","maxcut-140-630-0.8-22.cnf",189.13333333333333,"170"
"crafted","maxcut-140-630-0.8-23.cnf",186.66666666666666,"167"
"crafted","maxcut-140-630-0.8-24.cnf",188.13333333333333,"165"
"crafted","maxcut-140-630-0.8-25.cnf",186.6,"165"
"crafted","maxcut-140-630-0.8-26.cnf",189.8,"167"
"crafted","maxcut-140-630-0.8-27.cnf",189.4,"168"
"crafted","maxcut-140-630-0.8-28.cnf",188.85714285714286,"168"
"crafted","maxcut-140-630-0.8-29.cnf",186.53333333333333,"167"
"crafted","maxcut-140-630-0.8-3.cnf",188.4,"165"
"crafted","maxcut-140-630-0.8-30.cnf",187.13333333333333,"167"
"crafted","maxcut-140-630-0.8-31.cnf",188.33333333333334,"165"
"crafted","maxcut-140-630-0.8-32.cnf",187.4,"164"
"crafted","maxcut-140-630-0.8-33.cnf",188.33333333333334,"163"
"crafted","maxcut-140-630-0.8-34.cnf",185.46666666666667,"163"
"crafted","maxcut-140-630-0.8-35.cnf",186.06666666666666,"165"
"crafted","maxcut-140-630-0.8-36.cnf",186.86666666666667,"165"
"crafted","maxcut-140-630-0.8-37.cnf",186.46666666666667,"167"
"crafted","maxcut-140-630-0.8-38.cnf",184.85714285714286,"160"
"crafted","maxcut-140-630-0.8-39.cnf",188.8,"169"
"crafted","maxcut-140-630-0.8-4.cnf",187.71428571428572,"165"
"crafted","maxcut-140-630-0.8-40.cnf",182.21428571428572,"161"
"crafted","maxcut-140-630-0.8-41.cnf",185.33333333333334,"163"
"crafted","maxcut-140-630-0.8-42.cnf",181,"164"
"crafted","maxcut-140-630-0.8-43.cnf",187.4,"165"
"crafted","maxcut-140-630-0.8-44.cnf",185.42857142857142,"160"
"crafted","maxcut-140-630-0.8-45.cnf",187.85714285714286,"165"
"crafted","maxcut-140-630-0.8-46.cnf",184.26666666666668,"162"
"crafted","maxcut-140-630-0.8-47.cnf",183.6,"164"
"crafted","maxcut-140-630-0.8-48.cnf",182.33333333333334,"164"
"crafted","maxcut-140-630-0.8-49.cnf",186.92857142857142,"166"
"crafted","maxcut-140-630-0.8-5.cnf",186.64285714285714,"164"
"crafted","maxcut-140-630-0.8-50.cnf",186.92857142857142,"165"
"crafted","maxcut-140-630-0.8-6.cnf",187.8,"169"
"crafted","maxcut-140-630-0.8-7.cnf",185.42857142857142,"166"
"crafted","maxcut-140-630-0.8-8.cnf",189.06666666666666,"167"
"crafted","maxcut-140-630-0.8-9.cnf",184.2,"165"
"crafted","p_hat1000-1.clq.cnf",53.5,"52"
"crafted","p_hat1000-2.clq.cnf",145.5,"142"
"crafted","p_hat1000-3.clq.cnf",242.28571428571428,"238"
"crafted","p_hat300-1.clq.cnf",50.714285714285715,"49"
"crafted","p_hat300-2.clq.cnf",136.92857142857142,"135"
"crafted","p_hat300-3.clq.cnf",272.2857142857143,"269"
"crafted","p_hat500-1.clq.cnf",76.35714285714286,"75"
"crafted","p_hat500-2.clq.cnf",177.57142857142858,"176"
"crafted","p_hat500-3.clq.cnf",286.7142857142857,"284"
